Prueba,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990
Prueba 1,300,600,1000,1300,2100,3100,3300,4300,6000,6200,8100,8700,10400,11700,13500,15200,18100,17500,20500,24200,24900,30400,28900,83800,36300,37100,40700,47900,75600,46800,51100,75400,58100,67900,67300,143500,79400,82000,88900,87600,100100,95400,104600,105800,109600,118100,118200,120600,138400,150800,133700,162700,158100,158800,197200,246900,174800,199400,340500,222400,196300,246700,222000,242800,228300,229900,240600,269100,258000,297400,278700,290800,286700,284400,354900,358900,346800,347600,374900,437200,368700,431900,378000,425300,457200,436400,453800,472600,468600,427000,438600,513900,451100,471400,548600,504900,603900,575600,610400
Prueba 2,300,700,1300,1500,2300,2900,3300,4200,5300,6200,8100,8500,10000,11400,14100,14700,15600,18900,20100,21200,26300,28600,30500,31600,33500,40100,40900,47900,48000,47300,59400,120100,59300,65800,73700,82800,86300,86200,84500,91500,103400,93000,102100,102600,109600,119200,164000,119600,150300,153800,146000,157100,145200,156000,231100,279200,227500,199000,205200,273000,200900,272700,213000,254600,225100,261100,252300,283500,261000,306100,282100,269800,293400,295200,320200,341800,351200,319700,374400,406500,363700,440900,356400,429500,427800,439700,452000,453000,502600,425300,446500,508800,465400,451200,567400,551200,550300,580200,632900
Prueba 3,400,600,1200,1300,2400,3000,3500,4700,5600,6400,7500,8300,10400,10500,13800,13700,16400,19000,20500,23400,26900,26400,60400,32000,35800,36200,42700,46400,79600,47900,55500,56500,65600,67400,75000,78500,80100,83500,85000,88700,108700,94900,96900,102600,108800,114400,126900,123600,144700,145200,141200,159500,144200,159800,208400,179500,179800,207700,217500,207700,203500,205300,209500,259300,216100,227200,240900,275600,301200,309400,283200,268000,437300,300500,348500,345100,361400,331800,366600,414100,360400,420100,371800,402100,436100,439600,447200,471900,479200,529800,455300,523800,473200,678600,557400,532100,568700,592600,591800
Prueba 4,300,800,19300,1200,1800,3300,3200,4500,5200,5700,8000,8400,10500,11200,13600,15400,15500,18200,19000,22200,25400,28100,29100,29400,38000,35100,36700,45700,73800,51400,56100,77000,59300,63000,69100,74400,81400,86700,83900,94200,92300,103100,94600,97800,112800,120300,116800,124100,153700,151100,141900,160900,157500,156300,308900,179200,176700,213400,185000,226300,190100,208700,215500,255500,229100,229600,249400,259300,402700,289700,280200,278100,275200,282900,396400,361000,353300,354800,377500,388500,357800,424600,385300,430000,434800,442300,453600,479900,490000,413000,472500,521200,458800,457100,562300,524600,581300,575400,592500
Prueba 5,200,600,1000,1300,2100,3300,3600,4300,5400,6400,7100,8700,10300,12100,12700,15700,15700,18900,20900,23500,23500,28200,31300,30100,33000,38100,43400,47000,48300,47100,53600,54400,59600,62400,72600,77000,81600,79200,91600,90300,98200,96500,97000,103400,106900,121700,113400,126800,144800,146100,138800,159200,151900,164800,270300,171800,172500,209000,183400,222600,196700,205800,222100,263600,301900,228700,251500,260100,255100,289100,293700,273300,277300,306800,324200,353400,354600,335700,388100,390900,360200,424900,376200,410100,441600,456300,448500,488000,464200,502500,472500,506400,486900,758000,578000,504800,549100,577400,583400
Prueba 6,300,800,1200,1400,2300,3400,3200,4500,5000,6500,8800,8500,10600,13000,13200,15200,15700,16600,20900,21400,25000,29200,28500,32300,32800,36000,41700,50400,63800,51300,52800,59600,61400,59700,74100,77000,78200,82200,84100,86600,98500,87300,98700,107200,113700,124000,128700,213700,150600,143700,139500,157000,158900,222400,315000,166000,173700,186700,189100,225200,192000,190700,207300,251200,217900,242700,311800,276500,361300,334400,287600,274800,324900,287000,350200,355500,375500,342300,367000,400000,358900,426900,373600,420200,436500,442400,443200,472400,472700,444800,475500,505700,472300,448500,546900,513200,591900,603300,616800
Prueba 7,300,600,1300,1600,2200,3100,3600,3700,5400,6100,7400,8600,11000,11500,12600,16200,16300,17400,19500,21800,25100,27500,29200,29500,35300,37100,38900,49600,95800,50100,58300,61200,61400,64800,72100,74500,76000,118900,85700,86200,100100,94000,98100,106400,145400,122600,127400,214600,149000,147000,140300,151900,162300,151600,245600,169300,173000,195600,193700,219500,203800,223800,217800,265900,222500,227800,253000,280500,249000,301000,280900,317500,395000,282500,342000,346500,355900,336500,364600,403400,582300,404800,353600,417600,445200,439200,446100,449900,477100,430600,464800,488700,515200,454100,555400,520000,569100,588900,586300
Prueba 8,300,800,1100,1600,2200,4100,3300,4200,5700,6400,7900,8000,10000,10800,13200,15000,17700,17300,20900,21600,25600,28100,29000,32300,35300,36300,42000,46700,50600,51400,57500,56400,61400,65300,70500,74300,78600,86100,87200,91000,98700,96500,100100,103000,107500,118300,125400,196900,143100,140900,142200,158200,156800,152800,287200,169500,174600,204500,188400,238400,208600,195700,248400,254100,229200,230700,239900,268100,260500,308000,295000,322600,293200,351700,330200,345800,359400,334700,363200,392900,379300,406700,382300,424500,458600,434400,466300,453800,468200,404000,489200,507900,521700,471300,536200,519200,568900,575100,570900
Prueba 9,200,700,1000,1400,2200,2800,3100,4800,4900,6500,7400,7900,10700,11600,12700,15800,15800,18500,20400,21500,25100,27600,28200,33800,35900,36600,41000,48800,64600,50800,60600,58000,56400,61900,66300,72300,75900,84700,85900,135300,98800,96000,99900,105100,106200,214500,122000,185900,146300,144800,139700,151500,157400,161900,362200,178600,263900,201100,180700,192700,194600,208800,208100,268400,235000,237000,244100,267100,248700,310200,277800,260000,500400,304300,326200,342900,367500,334400,388100,404400,366400,407300,382800,405600,436900,433000,452300,476700,469700,433100,465400,526800,531000,468000,571900,525900,583700,594500,595100
Prueba 10,300,700,1000,1300,2000,3100,4500,4600,5400,6500,8000,8700,9900,11600,13300,15400,50900,17100,20100,23600,24300,28400,30400,31500,35100,38400,41300,47500,90500,48600,51900,55900,56000,64500,73100,80900,73500,79100,92200,90000,120100,135100,94400,108600,170900,119000,117500,128700,147000,182900,134300,149300,162700,161500,259600,171200,200300,197400,198600,220600,208200,209900,338100,244600,240700,246600,388900,267800,257600,313900,282300,272400,320600,286100,333100,347700,375200,477000,370200,407200,381200,421400,369700,429100,483100,448800,457800,462600,477300,419000,466400,511500,501700,462600,555500,506400,541200,578000,596700
Prueba 11,200,14100,1000,1400,2100,2700,3600,3700,4700,6500,7200,8700,10000,11200,13100,13600,17700,17000,20800,24600,24400,26200,30700,33200,34800,36400,40500,47700,107800,47500,54000,59200,61000,61100,65200,73100,80200,83600,79200,94000,127200,95700,100400,103700,104200,127900,115900,121400,134700,147400,142900,160400,158100,159300,231100,170100,171300,201500,192000,217400,214700,201800,223500,242900,244100,233600,264500,266100,399700,307500,291800,273100,319800,282200,348500,336500,362800,406500,383900,393100,374900,409500,375900,418500,450000,423500,454000,467900,466500,421400,463500,493100,619600,460800,565300,533400,576000,564300,538200
Prueba 12,200,600,1000,1200,2200,3000,3900,4100,5600,6000,7300,8800,10200,11500,12500,15100,17500,17200,21400,23200,23200,27700,30900,31800,35000,38100,39000,48300,73600,53500,58800,54300,59700,61600,97600,78400,75200,87800,91100,137200,115800,94900,106100,106500,106300,115300,133200,126000,135800,222900,138500,166300,150600,151600,236600,192500,178700,200800,196600,224600,225600,209500,226600,262200,291800,229600,252200,270100,256800,287000,272900,288400,287100,443000,351700,334700,344300,324700,364200,392200,372500,407500,360400,431800,450200,408700,444400,510300,487700,430000,487000,515900,505900,506200,597400,508900,603500,633000,584800
Prueba 13,200,700,1000,1400,2000,2800,3100,4300,5600,6100,6800,8600,9800,11500,13800,14800,17500,18000,21000,24200,23400,26700,30800,97100,33700,39800,38900,54000,68600,45900,53800,59700,59700,63500,120000,77300,79300,83700,85700,133400,116500,163500,101700,128800,111100,117800,119900,122500,140600,215900,133400,164000,191200,156200,242400,177700,175400,212200,194500,223400,206800,234100,219500,244600,226700,232100,253100,292800,237900,298700,285800,269800,285600,296500,444400,355800,357300,334400,374700,392600,369400,411500,375800,415300,420100,432900,451500,467200,476800,436800,485900,506000,507800,606000,563300,535300,568100,578800,577300
Prueba 14,200,600,900,1400,2400,3200,3500,4300,5300,6100,7800,8400,10800,11800,13200,13800,17300,19000,24100,21700,23900,27100,29500,31800,34600,34400,41900,47400,125500,52000,55800,56200,60700,63600,154000,76800,80400,82800,89700,185500,95100,97100,103400,104400,108300,131800,114900,122400,141200,136800,146300,156900,267700,184900,239300,174400,173900,213900,191400,225500,217700,199200,222700,248300,225200,235800,246000,289500,332100,288500,297200,270400,283100,299800,346100,342000,363600,336500,376000,393600,381400,410100,382300,413700,439800,467200,467800,468000,496700,421100,494400,518000,535800,519800,570000,513500,558800,606500,607000
Prueba 15,200,600,1100,1300,2100,3100,3300,4400,5400,6800,7600,8300,9900,12800,12300,14400,16800,18600,33200,22800,23100,27200,30000,32700,33200,37000,41300,44800,100200,56300,55600,56900,61900,68500,69700,77000,78500,84000,85100,101400,96200,96200,101100,102900,110200,123200,116300,123300,157100,136100,138900,158200,147600,161000,324000,173900,178400,203400,189400,224800,214700,361300,216400,263900,237600,230700,237400,278200,347200,287500,274900,273700,282400,306900,344900,348900,361200,385700,389400,391000,462000,413400,372400,406100,451600,457700,446500,445500,505900,434300,474700,516100,510000,482900,552200,484100,554400,597500,599300
Prueba 16,300,600,900,1300,2800,3000,3200,4200,5700,6200,7700,9700,9900,11700,14800,15100,17000,21000,38500,23400,24300,26300,30700,33500,37000,38300,41100,49700,137600,70700,59800,55600,60000,64500,66800,79400,87200,85200,86200,189800,92200,93200,96500,103200,107600,118600,115200,124300,136400,137400,144800,156900,149500,259400,246300,188100,243900,204500,190000,214000,208000,324200,230200,245900,218200,237700,437700,288300,262600,275800,286500,265400,284700,311300,348300,349800,365100,334300,377800,389300,352700,412500,366500,430900,449900,435700,467700,500200,479100,427500,484100,507600,506600,501300,540400,518400,575100,606600,576400
Prueba 17,200,700,1000,1800,2700,2700,3100,3900,4600,6400,6800,9500,10200,11300,14200,15200,17900,17400,20700,21300,57300,28700,43900,31000,35600,38700,40200,47200,104200,48900,59600,53800,58400,65700,65800,81800,78400,77000,88300,139500,91000,119500,98600,101000,106500,114100,114500,122100,137600,133400,139300,151800,151600,159700,242200,174900,174300,203700,193400,217100,207600,314000,230600,270100,220600,226800,250000,286000,252600,308800,358900,269400,286800,335100,345000,347900,369700,338300,382600,407200,350600,428700,374300,421800,438100,462700,464200,496400,466700,435200,476300,497400,503300,472800,558600,517200,593500,600900,581800
Prueba 18,200,600,1400,1300,2400,2900,3500,4200,5800,6200,7000,7700,10700,11500,13800,13800,17000,18400,20600,21700,27100,27100,29500,31400,36700,38600,43600,50300,105300,52700,53100,58700,62700,66400,67500,80200,79000,87300,82700,107200,101000,91500,102100,103500,104500,120700,156900,119500,144900,138300,140000,153400,154000,160700,169100,183900,175000,187300,197200,218000,215600,201700,226400,240100,331400,226000,357700,268700,251200,297800,285900,266900,281000,289900,341100,354300,358200,336400,379700,420300,373800,425200,382400,417000,446000,431900,463200,470700,475900,429400,493000,568400,550500,516200,569100,515600,560600,598100,605100
Prueba 19,300,600,1100,1900,2000,2800,3400,3800,5500,6300,6700,9400,10500,13600,13800,14600,16100,19500,20600,24000,26400,28000,28700,33000,35200,37400,41600,49100,141000,49900,55400,55400,57800,66700,65000,78100,79600,79800,87500,150300,106600,93100,98300,108900,110500,113300,185800,127000,138700,137100,139700,163700,152000,159000,187600,191500,168500,199700,191500,215200,205800,203100,212700,238200,218400,231200,343800,275200,255300,308100,273900,264500,505900,278100,334900,353600,352500,397300,365500,407000,355200,426100,371600,450700,468600,453700,443200,454000,473200,431400,486300,516700,545800,458100,536000,504600,545800,599600,591000
